image,0,1,2,3,4,5,6,7,8,9
query060.png,Crosswalk,Bridge,Crosswalk,Crosswalk,Crosswalk,Car,Bridge,Car,Bicycle,Bus
query061.png,Chimney,Bridge,Traffic Light,Bridge,Car,Hydrant,Bridge,Car,Hydrant,Chimney
query062.png,Bicycle,Crosswalk,Traffic Light,Bus,Bridge,Palm,Crosswalk,Bridge,Bicycle,Hydrant
query063.png,Car,Crosswalk,Car,Car,Traffic Light,Bridge,Bus,Bus,Traffic Light,Bridge
query064.png,Crosswalk,Hydrant,Bridge,Crosswalk,Palm,Car,Car,Crosswalk,Car,Bridge
query065.png,Bridge,Crosswalk,Bus,Car,Crosswalk,Chimney,Bridge,Bridge,Bridge,Bus
query066.png,Bicycle,Chimney,Chimney,Bus,Crosswalk,Traffic Light,Bridge,Palm,Car,Chimney
query067.png,Hydrant,Traffic Light,Bus,Motorcycle,Motorcycle,Motorcycle,Traffic Light,Bus,Motorcycle,Bridge
query068.png,Bridge,Crosswalk,Motorcycle,Hydrant,Car,Bus,Bicycle,Bicycle,Palm,Car
query069.png,Bridge,Bus,Car,Crosswalk,Crosswalk,Bus,Bicycle,Car,Bridge,Crosswalk
query070.png,Motorcycle,Bus,Bicycle,Bus,Bicycle,Traffic Light,Motorcycle,Bus,Car,Bus
query071.png,Bus,Bridge,Motorcycle,Motorcycle,Bicycle,Bridge,Bus,Bus,Crosswalk,Bicycle
query072.png,Crosswalk,Bridge,Crosswalk,Crosswalk,Traffic Light,Traffic Light,Crosswalk,Crosswalk,Crosswalk,Bridge
query073.png,Crosswalk,Bridge,Car,Bus,Crosswalk,Hydrant,Bridge,Bicycle,Hydrant,Crosswalk
query074.png,Bicycle,Crosswalk,Car,Crosswalk,Hydrant,Car,Traffic Light,Bridge,Car,Bridge
query075.png,Car,Palm,Palm,Chimney,Bicycle,Car,Bicycle,Traffic Light,Palm,Traffic Light
query076.png,Hydrant,Bicycle,Hydrant,Bicycle,Bridge,Bridge,Traffic Light,Motorcycle,Crosswalk,Bridge
query077.png,Bridge,Bus,Bicycle,Crosswalk,Bus,Bus,Crosswalk,Crosswalk,Crosswalk,Bicycle
query078.png,Bicycle,Traffic Light,Crosswalk,Hydrant,Hydrant,Palm,Traffic Light,Bus,Car,Palm
query079.png,Chimney,Car,Chimney,Bicycle,Bicycle,Palm,Palm,Hydrant,Traffic Light,Crosswalk
query080.png,Bicycle,Chimney,Bicycle,Hydrant,Crosswalk,Car,Hydrant,Bridge,Motorcycle,Car
query081.png,Hydrant,Palm,Bicycle,Crosswalk,Crosswalk,Palm,Palm,Palm,Palm,Palm
query082.png,Chimney,Palm,Traffic Light,Bridge,Bridge,Traffic Light,Traffic Light,Palm,Chimney,Bicycle
query083.png,Car,Bus,Bus,Bridge,Bus,Palm,Bridge,Car,Palm,Chimney
query084.png,Bicycle,Crosswalk,Bus,Car,Palm,Car,Palm,Bridge,Bridge,Palm
query085.png,Car,Hydrant,Traffic Light,Hydrant,Car,Hydrant,Palm,Bridge,Car,Crosswalk
query086.png,Car,Bicycle,Traffic Light,Car,Bicycle,Motorcycle,Bridge,Motorcycle,Car,Bridge
query087.png,Car,Car,Traffic Light,Bus,Car,Car,Bicycle,Bridge,Crosswalk,Bicycle
query088.png,Bus,Bicycle,Bus,Chimney,Chimney,Bus,Car,Car,Bus,Bus
query089.png,Bicycle,Car,Bus,Crosswalk,Bicycle,Bus,Bus,Motorcycle,Crosswalk,Bicycle
query090.png,Bridge,Bus,Bridge,Bridge,Bridge,Bus,Crosswalk,Bicycle,Bridge,Bridge
query091.png,Bus,Bicycle,Crosswalk,Car,Bicycle,Bicycle,Bicycle,Bicycle,Crosswalk,Traffic Light
query092.png,Bicycle,Bicycle,Bicycle,Chimney,Hydrant,Chimney,Chimney,Chimney,Chimney,Bicycle
query093.png,Hydrant,Motorcycle,Traffic Light,Bus,Chimney,Hydrant,Traffic Light,Traffic Light,Motorcycle,Hydrant
query094.png,Bridge,Car,Hydrant,Palm,Car,Bridge,Bicycle,Hydrant,Bus,Car
query095.png,Bicycle,Palm,Traffic Light,Palm,Bicycle,Bicycle,Bicycle,Bicycle,Traffic Light,Bridge
query096.png,Car,Motorcycle,Motorcycle,Motorcycle,Traffic Light,Palm,Bridge,Bridge,Car,Bicycle
query097.png,Bicycle,Bicycle,Bicycle,Bicycle,Bus,Motorcycle,Traffic Light,Chimney,Chimney,Bus
query098.png,Palm,Palm,Palm,Palm,Palm,Car,Traffic Light,Palm,Chimney,Palm
query099.png,Bridge,Bicycle,Hydrant,Bridge,Bicycle,Bicycle,Bicycle,Bridge,Hydrant,Car
query100.png,Bridge,Crosswalk,Crosswalk,Chimney,Bridge,Crosswalk,Bus,Bus,Motorcycle,Car
